"Date de création";"Numéro de lettrage";"Numéro de police";"Prime TTC";"Date effet";"Echéance"
"2018-12-10 17:39:57";"";"RCX304194";"31250";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284357";"137500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284357";"137500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284357";"137500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304168";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304168";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304442";"31250";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284387";"112500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284387";"112500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"DIVERS";"PLX304174";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304281";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284387";"112500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284387";"112500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX284399";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX284399";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX284399";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX284399";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253063";"45368";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX304246";"81695";"2017-09-13";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253037";"71314";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253056";"64387";"2017-11-29";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304281";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253056";"69224";"2017-05-29";"2018-12-10"
